,category,text
43341,Electronics,"SanDisk Ultra CZ48 16GB USB 3.0 Pen Drive (Black) Size name:16GB   Get to Your Files Faster The SanDisk Ultra USB 3.0 Flash Drive combines faster data speeds and generous capacity in a compact; stylish package. With transfer speeds of up to 80MB/s; this USB 3.0 flash drive can move files up to four times faster than USB 2.0 drives. With storage capacities up to 64GB; the drive can accommodate your bulkiest media files and documents. Storage Capacity: 16 GB Host Interface: USB 3.0 Height: 0.4 Width: 0.8 Length: 2.2 Green Compliant: Yes Green Compliance Certificate/Authority: REACH; EU RoHS Limited Warranty: 5 Year. Genuine Imported Products from USA. Prices include Import Custom Duties and Taxes. Note: Incase of any issue with the product, kindly contact brand at 1800-102-2055(English, Hindi),Local Time M-F | 9a.m - 7:30p.m."
6695,Household,"Klaxon Towel Ring - Bathroom Towel Holder - Stainless Steel Towel/Napkin Ring - Kristal 102 (Silver, 2PCs) Towel Rod, bathroom towel holder - You now have a place to hang not just your towel, but also your clothes or any other soft accessories that you might to hang while go in for a bath. No more do you have to worry to have your towel rod get corroded or catch rust due to being in a prolonged exposure to water and moisture, because this bathroom towel holder is completely resistant to moisture and temperature changes, making it rust-proof. This durable access should definitely be a part of your bathroom!"
25571,Books,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen Review “Compelling. . . . Entertaining. . . . [McDougall] uses an extended portrait of one of the world's least known cultures, the Tarahumara Indians of Mexico's Copper Canyons, to put modern American running under an exacting magnifying glass.”–San Francisco Chronicle “Equal parts quest, physiology treatise, and running history. . . . [McDougall] seeks to learn the secrets of the Tarahumara the old-fashioned way: He tracks them down. . . . The climactic race reads like a sprint. . . . It simply makes you want to run.”–Outside Magazine“Hugely entertaining. . . . One of the most joyful and engaging books about running to appear for many years.”— The Irish Times.“An enthralling story. . . . McDougall’s background as a magazine writer is readily apparent–his prose is light and airy, informative without being pretentious. Most passages are short and engaging with extra doses of drama and exclamatory phrases thrown in to great effect. McDougall wisely grounds the narrative in his own struggle to engage in the concluding race–he was frustrated with his tendency to get injured–and he offers insightful sidebars on a variety of topics, from the development of the modern running shoe to an evolutionary argument that humans are literally born to run. . . . A terrific ride, recommended for any athlete.”–Kirkus, starred review""A wildly fascinating story, perfectly told. Born to Run is an instant classic."" –Daniel Coyle, author of The Talent Code""Born to Run is hilariously funny, weird, and nonstop fun to read. Runners can sink their teeth into it.""–Bill Rodgers, Four time winner of the Boston Marathon“Driven by an intense yet subtle curiosity, Christopher McDougall gamely treads across the continent to pierce the soul and science of long-distance running. McDougall's ambitious search leads him deep into the ragged folds of Mexico's Copper Canyon, where he somehow manages the impossible: He plumbs the mystic secrets of the fleet-footed Tarahumara Indians while never losing his deep enchantment for the majesty of their culture.”–Hampton Sides, author of Blood and Thunder and Ghost Soldiers""Christopher McDougall writes like a world-class ultramarathoner, with so much ease and heart and gusto that I couldn't stop reading this thrilling, fascinating book. As soon as I finished, all I wanted to do was head out for a run.""–Benjamin Wallace, author of The Billionaire’s Vinegar“I love Christopher McDougall's Born To Run! The book is wonderful. It's funny, insightful, captivating, and a great and beautiful discovery. There are lessons here that translate to realms beyond running. The book inspires anyone who those seeks to live more fully or to run faster.”–Lynne Cox, author of Swimming to Antarctica “Galloping along through a multi-faceted landscape that is by turns exhilarating, funny and weirdly absorbing, Born to Run is a breathless read, but sheer endorphinous pleasure.”–John Gimlette, author of Panther Soup""Quite simply the best book you’ll ever read about running. . . . Brilliant, and brilliantly life-affirming.""–Lloyd Bradley, author of The Rough Guide to Running“Born to Run is a fascinating and inspiring true adventure story, based on humans pushing themselves to the limits. A brilliantly written account of extraordinary endurance, far from home–that also explains how anyone can run better–it’s destined to become a classic.”–Sir Ranulph Fiennes, author of Mad, Bad and Dangerous To Know  About the Author Christopher McDougall is the author of Born to Run: A Hidden Tribe, Super Athletes, and the Greatest Race the World Has Never Seen. He began his career as an overseas correspondent for the Associated Press, covering wars in Rwanda and Angola. He now lives and writes (and runs, swims, climbs, and bear-crawls) among the Amish farms around his home in rural Pennsylvania.Christopher McDougall is available for select readings and lectures. To inquire about a possible appearance, please contact Random House Speakers Bureau at rhspeakers@randomhouse.com or visit www.rhspeakers.com. 				    	 					              See all Product description"
27602,Books,"American Literature (Literary Contexts) About the Author Nandana Dutta teaches at the Department of English, Gauhati University.  The series editor Pramod K. Nayar teaches at the Department of English, University of Hyderabad. His most recent books include 'The Transnational in English Literature: Shakespeare to the Modern' (2015), 'Citizenship and Identity in the Age of Surveillance' (2015), 'The Postcolonial Studies Dictionary' (2015), and 'Postcolonial Studies: An Anthology' (2015). His forthcoming work includes a book on the Indian graphic novel."
24736,Books,"Asian Hobby Crafts 'Illuminati' Dream Catcher Wall Hanging, 45x15cm Color Name:illuminati   Asianhobbycrafts proudly introduces its unique collection of hand-woven dream catchers. Crafted originally by the native americans, dream catchers were used in ancient times to give infants peaceful and beautiful dreams. The good dreams make their way through the beautiful twigs and feathers to reach the dreamer while the bad dreams being confused are unable to find their way through the web of threads in the middle."
27913,Books,Ethics in Service 
388,Household,"Sphinx Artificial Marigold Fluffy Flowers Garlands for Decoration - Pack of 5 (Light Orange) Color:Light Orange   Made up of recycled fibres/plastic, these beautiful and ethnic artificial flowers garlands have been in tradition for decades. These can be used to decorate your home , office or any public place for any festive event. These are most commonly used to decorate office reception area, walls, in-house doors, main entrance of home or office etc. The product is to be sent as per image shown."
43735,Electronics,Robo India IC-7402 7402 NOR gate IC (2 Pieces) Nor gate ic 7402. Data sheet available. 4 Nor gates.
11125,Household,"Kitchen DELLI Stainless Steel, Metal Bottle Pourers for Liquor, Wine and Spirits (8 Inch)- Pack of 2 Stop The Spills and Pour with Skills You will be surprised how much you can waste by spills & over pouring, Our Kitchen Delli Stainless Steel Pourers are a great way to make sure you get a perfect pour every time. A necessity in any classy bar, kitchen or restaurant. Whether it be drizzling your favorite dressing and oils over a salad, creating that ""pick me up"" cocktail or sharing a few cheeky shots. Perfect for flavouring snow cones and ice cream, giving you great control and keeping the spills off the kitchen floor. Food-Safe Stainless Steel Design. Made to last. kitchen Delli free flow pourers are manufactured to be reused multiple times and are resistant to rust. If treated well they will last. For an easy fit, run the bottle fitting part under warm water and make a star with your index finger."
32260,Clothing & Accessories,"IndiWeaves Boys Cotton Black Printed Trackpants This Lower is designed to elevate your look.Pair it with a sporty T Shirt to get a perfect look. Package Content- 1 Lower. Slip into this pair of lounge pants for an absolutely comfortable feel. Cut from Premium cotton they ensure an all-day good feel. The two side Pocket open - with elasticated waist band with a drawstring ensures ultimate functionality. Lounge about, go on a run or take a nap in this trendy pair. Wear yours with a casual tee and flip flops."
38242,Clothing & Accessories,"Prince Women's Raincoat Prince presents raincoat, which is made of polyester. This product features buttoned as its closure type, the collar type is hooded and it also has long sleeves. It can be washed normally."
11068,Household,"Chef Craft 9"" Long Double Sided Chicken Meat Tenderizer Hammer Mallet This gorgeous aluminum meat tenderizer has the finest details and highest quality you will find anywhere! aluminum meat tenderizer is truly remarkable. Aluminum meat tenderizer details: condition: brand new item Sku: ss-cc-21595 more information: package dimensions: H: 10 x W: 2.5 x d: 1.75."
11499,Household,"Trendy Ceramic Green Studio Table Serving Platter (Set of 2) Serving in a Platter can help keep your kitchen more organized and clutter free. Platter has been designed to add beauty and functionality to your interiors. The minimalistic design ensures that the Platter can be kept in the middle of your dining table and can be used as a server in front of your guests. It has been designed to be a durable and sturdy addition and therefore, the Platter can be used every day. Easy to use and maintain and can be a great accessory for all homes. (ABOUT THE ART : Stoneware Painting: Khurja in Uttar Pradesh is well-known for all the stoneware it produces. The finely crafted cups and saucers, and bowls and trays are they painted with absolute finesse. Our collection of stoneware brings to you the finest of them.) Color – Green Material – Ceramic Size –Dia x H = LxW = 8×3.5 Inch"
16062,Household,"Simxen Europe/UK/US/China/India All in One Universal Travel Adapter Plug Surge Protector (White) Universal World Wide Travel Charger Adapter Plug, Opencart Universal Power Travel Adapter Plugfor all those who love to travel, be it within the country or abroad, the Opencart Universal Power Travel Adapter Plug is a must. Giving compatibility in abundance, the plug can charge a variety of devices.International usageThis travel adapter is congruent with about 150 countries across the globe. You can use this to charge different types of electrical appliances, irrespective of what the socket type is. The charger is light in weight and comes with a travel pouch so that you can easily put it in your travel bag and carry all your electronic gadgets carefree.Product specificationsThe ClassyTek Universal Power Travel Adapter Plug works on 250 volts. This is consonant with a lot of countries in the world including the United States, the United Kingdom, Australia and Japan. The adapter is white in colour and portable in nature, weighing only about 120 gms."
14457,Household,"Goank Car Vaccum Cleaner Multipurpose Vacuum Cleaner Rated Voltage: DC 12 V Powerful suction. Compact, handy and lightweight. Occupies a tiny place, easy to empty. Used directly from the car lighter socket. Controlled by ON / OFF switch, easy to use. Can suck cigarette ash, cookie crumbs, eraser crumbs, hair, rice, wastepaper, etc. Complete with convenient attachment and washable filter. Perfect for home, office, school, travel and all vehicles"
29735,Books,"Puja Gram Panchayat Adhikari Sakshatar Darpan Interview tips, uttar pradesh general knowledge, sample of interview"
34334,Clothing & Accessories,"Larwa Men's Silk Dhoti (Dark Red, Free Size) Larwa brings ethnic ready to wear dhoti in varient colours. This traditional wear brings the ethnic charm. Made up of dupion fabric."
23664,Books,Bhagvad gita as it is english new edition Bhagvad gita as it is english new edition
35597,Clothing & Accessories,Scott International AWG Men's Premium Rich Cotton High Neck Hoodie Sweatshirt - Navy Blue
30024,Books,"What If?: Serious Scientific Answers to Absurd Hypothetical Questions Review With this book and with XKCD, you're a kid with a chemistry set all over again. [Randall Munroe's] enthusiasm for all things scientific is infectious . . . required reading for grown-ups, it's just fun to remember that science is really, really coolSmart answers to silly questions: Randall Munroe reveals allWhat If? maintains a delightfully free-wheeling tone throughout, especially when complicated calculations lead to whimsical results. Despite all the hard facts and gigantic numbers, it never feels like a textbook-and you don't have to be a rocket scientist to enjoy itThe best bathroom book you'll ever buy...Munroe takes inane, useless and often quite pointless questions asked by real humans (mostly sent to him through his website), and turns them into beautiful expositions on the impossible that illuminate the furthest reaches, almost to the limits, of the modern sciences .The first chapter, ""Q. What would happen if the Earth and all terrestrial objects suddenly stopped spinning, but the atmosphere retained its velocity?"" ends with the anthropomorphized moon worrying over the state of the Earth, and, with the gravity generated by its own rotation around the Earth, saving our dying planet. The physics are real; so is the emotional content. . . The answers are all illustrated with xkcd's trademark stick figures.. . . . and these are eminently approachableBrilliantWhat If? includes old favorites, new inquiries and the mix of expert research and accessible wit that has made Munroe a favorite among both geeks and laymenMunroe's brilliant What-If? column-which features scientifically rigorous, utterly absurd answers to ridiculous hypotheticals-has been on the bestseller lists since it was announced in March. Today, it hits shelves and: It. Is. A. Triumph[What If?] has solved my annual birthday-present and holiday-gift dilemmas for a large group of people . . . What makes Munroe's work so fantastic is a combination of two elements: his commitment to trying to answer even the weirdest question with solid science, and his undeniable sense of humour. So, here's a ""What If?"" from me: If everyone on the planet simultaneously bought a copy of this book, stopped what they were doing and read it cover to cover, would modern civilization and our global economy collapse? It's worth trying the experiment.For the record, I'm loving XKCD's What If -- 'Dear Abby for mad scientists'Munroe has hit on a wonderful form of science and engineering communication that can do so much-extolling the value of analytical thinking, examining data, and doing back-of-the-envelope calculations-while entertaining readers at the same time . . . an incredibly fun book with quirky, hand-drawn pictures  Book Description Science's most intriguing questions answered by the web's favourite writer, the genius behind xkcd.com.Munroe's hilarious and compelling answers explain everything from the odds of meeting your one true soulmate to how many humans a rampaging T-Rex would need to eat a day.              See all Product description"
33935,Clothing & Accessories,ALOFT Girls Multicolor Plain Cotton Vest (Pack of-6pcs) These products from Aloft are made from pure soft cotton for kids. They are comfortable and durable and come in assorted colors.
28564,Books,"Medical Acupuncture: A Western Scientific Approach About the Author Consultant Anaesthetist, The Royal Marsden NHS Trust, Honorary Senior Lecturer, Institute of Cancer Research, Sutton, Royaume-Uni Department of Complementary Medicine, University of Exeter, Royaume-Uni Medical Acupuncturist, Director of Education, British Medical Acupuncture Society, Royaume-Uni"
11928,Household,"King International Frothing Pitcher Mikey Store 10 Oz, 300 ml Stainless Steel Milk Pot | Set Of 1 Piece"
49772,Electronics,"OnePlus 6T (Midnight Black, 8GB RAM, 128GB Storage) Size name:8+128 GB                                                                                 |                            Colour:Midnight Black   Unlock the speed with the new OnePlus 6T."
17705,Household,"KITSCH ABS Plastic Mystica Mist Rain Spray Hand Shower with Wall Hook, 150cm - Chrome Plated Brass Tube (Multicolour) Transform your bathroom with this ultra modern rain spray hand shower which is only 10 mm thick on it's edges, that's about 1/2"" of an-inch you won't believe your eyes and neither will your next house guest. Enjoy the ultra modern sleek innovative design and be reassured that its made of solid abs plastic with hi gloss chrome polish unlike traditional hand showers prone to damage ; corrosion. It's durable mist nozzles allow for easy cleaning by rubbing with thumb if clogged by prolonged use of hard water."
47706,Electronics,"JVC KD-X152 Digital Media Receiver with Front USB/AUX Input (Black) Digital Media Receiver KD-X152, Now you can stay connected and enjoy your drive with uniqe technology. Simply connect your Android smartphone or tablet to the receiver via USB and enjoy a totally ""plug and play"" music playback solution. The Android Open Accessory Protocol (AOA2) is supported so absolutely no preparation or set-up is necessary – just plug it in and it’s ready to play audio files stored on your Android device in what’s called ""AUDIO MODE"". Or, by installing the free JVC Music Play app* available on Google Play, you’ll be able to access ""AUTO MODE"" for added functionality including Folder Up & Down, and Search Artist/Album/Song."
24299,Books,"Science in the Soul Review ""[Dawkins] is a thunderously gifted science writer"" (Oliver Moody The Times)""One of the best non-fiction writers alive today"" (Steven Pinker)""The illumination of Dawkins’ incisive thinking on the intellectual world extends far beyond biology. What a treat to see so clearly how matter and meaning fit together, from fiction to philosophy to molecular biology, all in one unified vision!’ Daniel C. Dennett"" (Daniel C. Dennett)""In this golden age of enlightened science writing it is stunning that no scientist has ever won the Nobel Prize for Literature. Pulitzer Prizes, yes, but it is time literature's highest award be granted to a scientist whose writings have changed not just science but society. No living scientist is more deserving of such recognition than Richard Dawkins, whose every book reflects his literary genius and scientific substance. Science in the Soul is the perfect embodiment of Nobel quality literature."""" (Michael Shermer, Publisher Skeptic magazine, columnist Scientific American, author The Moral Arc and Heavens on Earth)""I thank Thor and Zeus that in their infinite wisdom they chose to make the great wordsmith of our age a great rationalist and vice versa."" (Matt Ridley, author of The Rational Optimist and The Evolution of Everything) 				    	 					 Book Description A new anthology of essays and previously published and unpublished work by the brilliant evolutionary biologist, author of The Selfish Gene and The God Delusion. 				    	 					              See all Product description"
37006,Clothing & Accessories,STUBY ST-5CDC-WSpanty-53-ML-$P Made From Exquistion combed cotton fabric Smooth and soft texture with important waistband and long-wearing quality that withstands numerous washes.
9007,Household,"Pure Source India Scented Tea Light Candle (Red Rose) Smokeless Candles Made In India (25 pcs Candles) Pure Source India smokeless tea light candle ,Package of 25 Scented Tealight candles in a self-standing aluminum tin. With these quality Tealights you can enjoy the warm glow of a fine candle while enjoying the maximum safety of the tea light candle. If you’re a restaurant, party planner or just enjoy dining to the romantic touch of tealites, these quality long burning will deliver the ultimate and lasting radiation of warmth. made with a special technique to prevent early burn out of your Tea Lights. Tea Lights are an efficient and inexpensive, cost effective form of candle lighting for your ritual and religious ceremonies or any type of celebrations and Holidays. Universal size of ½” tall x 1.5” diameter. Burns nice and clean to the last drop for 2.5 / 3 hours. ""WARNING"" Never leave burning candle unattended. Keep 2 inches between candles. Put candles on fireproof objects only."
20369,Books,"Indian Political System About the Author Mahendra Prasad Singh retired as a Professor and Head of the Department of Political Science and Dean of Faculty of Social Sciences, University of Delhi. He has also served as Director at the Indian Council of Social Science Research, New Delhi. He is presently the editor of the Indian Journal of Public Administration, IIPA, New Delhi. Himanshu Roy is Associate Professor of Political Science, DDU College, University of Delhi. He was Fellow, Nehru Memorial Museum and Library, Teen Murti, New Delhi."
2280,Household,"Adorn India Polyester Blend Flora Sofa Cum Bed (Beige) Flora sofa cumbed,the new modern design sofa with colourfull combination.this sofa will make your home look beautiful.the new tufted design sofa bed comes with colourfull cushion and bedding that is smooth and comfy.easy press clack spring indian mechanism unfolds the sofa into a bed in an instant with ease.an extra seating for a single person with storage drawer in it to keep some stuff.this sofa is distinctively design and manufactured using raw material such as,solid wood, high density foam & fiber,velvet and chrome legs and experienced manpower."
2316,Household,"Adorn India Acura 3 Seater Sofa (Grey & Black) Size:Three_Seat                                                                                 |                            Color:Grey   Acura Sofa,This Is A Newly Modern Design And Simple & Sweet Sofa Set.Comfort Got Redefined With This Classy Sofa Set.The High Density Fiber Filling Gives A Soothing Experience,With The Main Frame Of Solid Wood.You Will Feel Comfortable And Cosy With This Stylishly Designed Sofa Set.This Sofa Set Is Distinctively Design And Manufactured Using Good Quality Product Such As High Density Foam & Fiber And Chrome Legs And Experienced Manpower."
13257,Household,Philips Daily Collection HL1655/00 250-Watt Hand Blender (White) Philips Hand blender HL1655/00 enables the user to quickly blend larger quantities of ingredients for as long as 20 minutes. The product is ergonomically designed for a better grip along with a rust proof metal arm to blend hot and cold dishes.
4682,Household,Vriksh Of Life Distressed Finish Wooden Mirror Shabby Elegance style is yours with this Hand Carved Wood Wall Mirror. Our artisans have carved the wood frame by hand and gives it a heavily distressed white finish that lends it the look of a vintage treasure. This wall mirror can be displayed either vertically or horizontally. Dimensions (In cm): L62 x B3 x H96cm
23420,Books,"The Power of your Subconscious Mind Review It is an awesome book... psychological aspects of mind is expressed in an understandable manner. --ByRenjith Ravindranon 24 May 2017Must buy for everyone. Amazing book. I have just started reading it and completed first 2 chapters but. But i am highly immpressed with the example given in it and going to finish in next 3 days. --By A customer on 16 December 2015It's a very good n very useful book n it should be read by each n every one ...to knw the things that are not aware and know about the mind power .. Super duper book --ByAmazon Customeron 19 March 2017 				    	 					 About the Author Joseph Murphy was an American author and New Thought minister, ordained in Divine Science and Religious Science."
27974,Books,"A Geometry of Approximation: Rough Set Theory: Logic, Algebra and Topology of Conceptual Patterns (Trends in Logic) Review From the reviews:“A collection of excursions into many areas related to rough set theory … . This book is intended for researchers and graduate students in mathematics, logic and computer science.” (Jerzy W. Grzymała-Busse, Mathematical Reviews, Issue 2011 m) 				    	 					         		         		         	                  	         		About the Author Piero Pagliani: After studies in Logic, Philosophy of Science, Linguistic, Mathematics and Computer Science, Piero Pagliani graduated in Philosophy at the State University of Milan. Italy. After serving large IT companies, at present Piero Pagliani is a knowledge management consultant. A researcher in the field of algebraic logic and expert systems, he is the author of a number of scientific papers and co-author of three books on Rough Set Theory published by Physica-Verlag. Piero Pagliani had been a lecturer in Model Theory at the Faculty of Computer Science of the University of Rome ""La Sapienza"" and gave talks and lectures in China, France, Germany, Japan, Poland, Romania, Canada, USA and India, where he collaborates with the Calcutta Logic Circle and the Department of Pure Mathematics of the University of Calcutta.Mihir K. Chakraborty: Received Masters Degree in Pure Mathematics from the university of Calcutta and Ph. D. in Functional Analysis from the University of Kalyani, West Bengal, India. Tought in several universities. At present Professor of Pure Mathematics, University of Calcutta. Held visiting assignments in variuos institutions and universities of India and abroad. Founder of Calcutta logic circle and mebber of many academic bodies of India and abroad e.g. the editorial board of TRS. Published about 100 articles in international journals. Research interest : Logic, Rough Set Theory, Fuzzy set Theory, Many valued Logics, Non-monotonic Logics, Algebraic Logic ,Functional Analysis, Foundation and philosophy of mathematics and science."
5994,Household,Imperial Home Collection Duvet Cotton Blue and White Cover with 2 Pillow Cases 90 x 100 Inches Size:90 x 100 Inches   100% cotton duvet covers with two pillow covers. Made with Finest cotton yarn. Cotton Bedlinen keeps you cool in summers and warm in winters. Best suitable for sensitive skins and for skins prone to Allergies. ECO FRIENDLY Material to keep our planet safe. YKK Zipper & Morito Hooks to tie your Duvet.
4356,Household,"KRIWIN® Shree Hanuman Idol 236 Grams (Brass & Ashtadhatu) Antique Gold Finish Standing Pose Ashtdhatu Shri hanuman is considered the God of power and strength and is worshiped by millions every Tuesday. hanuman correctly energized by prayer and meditation is the protective shield,which will protect the wearer against all evils and perils. hanuman Fulfill all your dreams come True with Ashtdhatu Shri Hanuman . Benefits of hanuman 1:- Protects from black magic, charms, negativity and psychic attacks 2:-Use for protection from ghosts/spirits/tantra attacks, evil eyes, power, authority, vigor and to overcome enemies. 3:- Helps the People who desire for physical and mental strength. 4:-Increase confidence Level. 5:- Overcome all the obstacles in the way Gives Success Success in your Business. 6:-Improves Relation and improves your thinking towards others."
39216,Clothing & Accessories,TWIN BIRDS Women's Cotton Regular Fit Churidar Leggings Look stylish by wearing this legging from . This regular fit Churidar leggings is made cotton that lends you a perfect fit. Team it up with casual tops and belly shoes for a complete casual look.
15707,Household,"LED Strip Light Waterproof Roll 20 Meter (120 led/Mtr) Warm White Size:20 Meter                                                                                 |                            Color Name:Warm White (Yellow)   Hot 2016, Smd 3014, 120 Led/Mtr,, Ip65, Waterproof Description: Plug & Play, Length: 20 Meter (60 Feet) With Adaptor (Complete Set) - Super Bright & Powerful LED Type: 100% quality - Amazing Lighting Effect- Long Working Life, Excellent Stability. - Long Life Working Hours. Colourful Pvc Wire Warmer, More Traditional Glow Nostalgic Flame-Tip Shape Cut Electricity Costs Up To 80% Than Ordinary Bulbs, Bulbs Are Virtually Unbreakable Hang Indoors Or Out , High Energy Saving And Safety Superior Material. Environmentally-Friendly, Smart Holiday Lighting, Where Can Use: It Is Widely Used In Home Decoration, Outdoor Project, Hotel, Office Building, Ads Box, Showcase, Shopping Mall, Store. Festivals, Diwali Decoration, Christmas, New Year, Home Decoration, In-Door, Out- Door/ False Ceiling, Kids Room, Shop/ Hotel & Restaurant/ Balcony/ Pool Side/ Boundary Wall Etc. . . Product Specification: Input Voltage: Ac220-240V, 50/60Hz Wattage: 12W/M. Lumens: 800-840 Lm/Ft LED Chips: Smd3014, 120Pcs/Meter Protection: Ip65 Waterproof Lifespan: 50000 Hours Application: 220V 3014Led Strip Is Waterproof And 20 Meters Max Per Roll."
9679,Household,"Pigeon by Stovekraft Favourite 3 Burner Line Cook Top Stove, Black Multiple Cooking Solution at Once: Bring home the Pigeon 3-burner cook top stove and enjoy cooking your meals conveniently. This gas stove features 3 burners, so you can prepare three different dishes simultaneously, thereby saving time and energy. It is designed for complete manual operation with a 360 degrees revolving nozzle, and is easy to operate. Its heat-resistant glass top lets you keep hot items right next to the burners without the fear of it cracking or getting damaged. Perfect Blend of Style and Functionality: The 3-burner cook top stove flaunts a sleek and contemporary make. Its classic black finish blends beautifully with most kitchen decors. Place it on your kitchen slab and get on with your cooking skills without having to worry about cleanliness. The stove is easy to clean and keeps the food from spilling even when the nozzle is on set on high. ISI Certified for Better Consumer Assurance: Pigeon favourite 3-burner gas stove comes with ISI certification, promising its consumers with better quality and user safety. Tested to ensure a long-lasting performance, this stove will make a useful addition to your kitchen space."
43164,Electronics,"Portronics POR-871 SoundDrum 4.2 Stereo Speaker (Black) Get the best music treat of your favourite numbers or enjoy a thriller on your smartphone, tab, laptop or computer, with Portronics SoundDrum using Bluetooth 4.2 or Aux cable. Don't worry even if your favourite music is in a non-bluetooth device like mp3 player or PC, simply use 3.5 mm Aux port or a pen drive. Listen to your FM radio programs, be it early the morning bhajans or late night romantic songs using its powerful FM tuner with inbuilt antenna. Portronics SoundDrum also gives you great convenience of hands-free phone calls. With in-built mic and speakerphone facility so you can take/reject/end calls coming to your smartphone. You can end or deny calls very easily and continue with your favourite songs without missing a note. The powerful industry-leading size of 1800mAh lithium Ion battery can play music for more than 7 hours on a single recharge. The battery can be recharged in just around 1-2 hours. Solid and stable drum shape in black colour goes well with stylish metallic grille, gives SoundDrum a very classy appeal. Breeze pack a great punch at solid 330 grams. It has International Protection rating IPx6 which means water resistantand dust tight body which allows you to enjoy music both wire-less and worry-less, even in dusty conditions and moist conditions.It is protected against splashing and light rain but not when immersed in water.The compact size allows you to carry it easily with you wherever you go."
40517,Electronics,"HP X4E78AA 680 Combo-Pack Black & Tri-Color Ink Cartridges Colour:Black + Tri-Color Combo   Make the most of every memory when you use Original HP Ink cartridges for your photos as every print is developed with quality in mind.Relive great experiences from fade-resistent prints that last a lifetime when using Original HP Ink.Capture more moments with greater page yield and cost efficiencies when you print with Original HP Ink XL cartridges.Keep cartridges out of landfill by using HP's free recycling service with Cartridges 4 Planet Ark collection bins in most Retail stores. Hardware compatibility:HP DeskJet 1110, HP DeskJet 1115, HP DeskJet 2130, HP DeskJet 2135, HP DeskJet 3630, HP ENVY 4520, HP OfficeJet 3830, HP OfficeJet 4650"
19900,Books,"Janice VanCleave′s A+ Projects in Earth Science: Winning Experiments for Science Fairs and Extra Credit (VanCleave A+ Science Projects Series) From the Publisher Earth science is one of the most popular science fair project subjects. The 30 Earth science experiments featured in this latest volume of the bestselling Janice VanCleave's A+ Science Fair Projects were specially designed to help junior high and high school students develop their own ideas for blue-ribbon science fair projects. The book covers 30 key earth science topics in the categories of earth and space, geology, the changing Earth, meteorology, and oceanography. 				    	 					 From the Back Cover Janice VanCleaves A+ Projects in Earth Science The newest volume in the bestselling A+ Science Projects series! Are you having a hard time coming up with a good idea for the science fair? Do you want to earn extra credit in your science class? Or do you just want to know more about how the world around you works? Janice VanCleaves A+ Projects in Earth Science can help youand the best part is, it wont involve any complicated or expensive equipment. This step-by-step project book explores 30 different topics and offers dozens of experiment ideas. The book also includes lots of charts, diagrams, and illustrations. Here are just a few of the topics youll be investigating:  Rocks and minerals  Meteorology  Oceanography  Plate tectonics  Air fronts  The greenhouse effect Youll be amazed how easy it is to turn your own ideas into winning science fair projects! Also available: Janice VanCleaves A+ Projects in Biology Janice VanCleaves A+ Projects in Chemistry 				    	 					              See all Product description"
34698,Clothing & Accessories,Vastraa Fusion Men's Blended Bandhgala Festive Nehru Jacket/Waistcoat
24254,Books,"The God Delusion Review ""This is a brave and important book."" --Desmond Morris, author of The Naked Ape and The Human Animal""A resounding trumpet blast for truth . . . It feels like coming up for air."" --Matt Ridley, author of Genome and Francis Crick""Richard Dawkins is the leading soothsayer of our time. . . . The God Delusion continues his thought-provoking tradition."" --J. Craig Venter, decoder of the human genome""Dawkins gives human sympathies and emotions their proper value, which...lends his criticisms of religion such force."" --Philip Pullman, author of His Dark Materials trilogy""The world needs . . . passionate rationalists . . . Richard Dawkins so stands out through the cutting intelligence of The God Delusion."" --James D. Watson, co-discoverer of DNA, author of The Double HelixDelusion continues his thought-provoking tradition."" --J. Craig Venter, decoder of the human genome""The God Delusion is smart, compassionate, and true . . . If this book doesn't change the world, we're all screwed."" --Penn & Teller""At last, one of the best nonfiction writers alive today has assembled his thoughts on religion into a characteristically elegant book."" --Steven Pinker, Johnstone Professor, Harvard University, author of The Language Instinct, How the Mind Works, and The Blank Slate ""A resounding trumpet blast for truth . . . It feels like coming up for air."" --Matt Ridley, author of Genome and Francis Crick ""Dawkins gives human sympathies and emotions their proper value, which...lends his criticisms of religion such force."" --Philip Pullman, author of His Dark Materials trilogy  ""This is a brave and important book."" --Desmond Morris, author of The Naked Ape and The Human Animal ""Richard Dawkins is the leading soothsayer of our time. . . . The God Delusion continues his thought-provoking tradition."" --J. Craig Venter, decoder of the human genome ""The God Delusion is smart, compassionate, and true . . . If this book doesn't change the world, we're all screwed."" --Penn & Teller ""This is exceptional reading."" Kirkus Reviews, Starred ""The world needs . . . passionate rationalists . . . Richard Dawkins so stands out through the cutting intelligence of The God Delusion."" --James D. Watson, co-discoverer of DNA, author of The Double Helix 				    	 					         		         		         	                  	         		About the Author Richard Dawkins taught zoology at the University of California at Berkeley and at Oxford University and is now the Charles Simonyi Professor of the Public Understanding of Science at Oxford, a position he has held since 1995. Among his previous books are The Ancestors Tale, The Selfish Gene, The Blind Watchmaker, Climbing Mount Improbable, Unweaving the Rainbow, and A Devils Chaplain. Dawkins lives in Oxford with his wife, the actress and artist Lalla Ward."
34175,Clothing & Accessories,"Blacksmith Blue Dots Tie, Bowtie, Cufflink, Pocket Square Set for Men Blacksmith Blue Dots Tie, Bowtie, Cufflink, Pocket Square Set for Men"
