,Document,Topic_group
36075,oracle fusion and please fusion please have had issues with today especially believe have found way fix but tells need contact you below you can screen comes up have able add for second behind losing money delayed report multiple attempts you need provide temp password enter fusion have sent last correspondence we had regarding issue for your reference below our last correspondence hello please be informed you have your password your you can use for logging fusion boxes should be completed with following information host name password you can find your should be empty field complete should you need any further assistance please let know kind regards engineer details requested for contact sales address location states atlanta atlanta line manager summary request please provide info action item under constraint additional comments or requirements please provide info action item under constraint please provide temporary for fusion information below boxes under constraints for purposes image thank you se sent forgive errors assign fusion ticket reference assignment request summary please provide info action item under constraint location states atlanta atlanta attachments image access request please click following link kind regards ref msg se,Hardware
21662,set up the on mobile phone thursday february pm mobile phone hi please offer mobile phone model thank best regards programme portfolio officer,Hardware
27691,dashboard maintenance work october pm dashboard work dear dashboard unavailable wednesday october please notify users attached document thanks job engineer,Hardware
12183,monitor found and wanted adapter needed thursday july pm monitor adapter hi building floor unused monitor number adapter mini display port possible monitor has input thank,Hardware
8904,meeting rooms configuration hi since moved cannot meeting rooms example while calendar text other rooms besides ones mars mercury etc also side right permissions thanks senior software developer,Hardware
38686,outlook issue issue dear have issue with cannot seem be able solve shows have over unread message below but cannot them tried right click but nothing happened would you please be able help with also could you please let know where problem could come maybe next can avoid thanks officer,Administrative rights
4132,license license macs environment successfully run software advise how users parallel software solution thank best regards lead,Access
22882,time management functionality friday pm functionality dear functionality thank,HR Support
27304,git access october git hello please provide git tried connect git issue blocker tasks thank software tester phone mobile ext blvd zone information confidential legally privileged intended solely addressee opinions expressed mine,Access
42340,excel add excel crashes numerous times sent wednesday excel crashing numerous times per please treat urgent cannot complete daily tasks useful importance high hi ever since use excel add excel crashes numerous times per or enters into responding infinite times please below does allow perform daily tasks useful please could you check what can we enhance performance if possible please advise whether need faster machine thank you,Hardware
32795,access request for a list or library friday july pm library requesting library links library manage setting library please write note site site site provides central storage collaboration information ideas site tool collaboration tool communication meeting tool decision making site helps groups work teams social groups share information work together example site help coordinate calendars schedules discuss ideas review proposals share information keep touch other sites dynamic interactive members site contribute own ideas content well comment contribute other,Hardware
7038,monitor monitor dear work where spend debugging while parallel execute application flow grateful monitor separate work across two screens also productivity effectiveness increase contribute more two same sized monitors notice difference currently screen second monitor too same size monitor properly looking forward hearing regards,Hardware
31154,pas access for the project tuesday pm importance high dear please help write rights thank best regards agile next annual leave,HR Support
36648,windows upgrade insufficient disk space upgrade analyst ext sent tuesday october re upgrade hi raised while ago there enough space have any other data but programs installed there could delete move anything regards manager sent tuesday october upgrade hello if you already upgraded your os please ignore also if you member teams please apply upgrade yet thank you you receiving because we approaching scheduled for forced upgrade assets migrated yet before performing upgrade your please document found here carefully attention screen below please contact or should you require any further assistance best regards ext,Administrative rights
14741,change the decimal separator wednesday pm excel book hello please advise how change decimal separator thanks,Miscellaneous
21084,wants to share job description templates with pop february pm wants share job description templates want share job description templates accept decline,Storage
29011,service now access for interns please provide intern test instance,HR Support
9070,day off request oracle pm kind submitting off today hello guys please add submit annual leave today reason ask period thursday friday vacation days unfortunately did submit days off yesterday problem cannot submit today because considered past today submit tomorrow thank kind regards consultant,HR Support
46126,issues bogota sent thursday november issues hi we have device andes meeting room device works fine drop calls each or minutes usually we can share screen call because disconnect device drop call same issue but less frequency happened with other two devices la meeting rooms have connect them like speakers using cable works because connected like device can you help solve issue maybe networking matter kind regards engineer ext,Hardware
27665,travel to hardware necessity adaptor tuesday october hardware necessity good going travelling next understanding adaptor available available thank pleasant,Hardware
36143,error when seeing a requisition that can approve it error when seeing requisition can approve when try approve manager,Miscellaneous
13868,screen error friday screen error hi please because show screen twice attached pictures thank best regards compliance ext,Hardware
36722,windows upgrade error upgrade error hello could you please open incident assign was getting error while trying update via software center did place upgrade using thank you engineer ext en,Administrative rights
16124,import contacts to ad hello please review entries mobiles locations phone corresponding format order import ad successful xxx xxx xxx xxx xxx xx xxx xxx xx more details how phone updated available hardware procedure section after performing needs raised import ad thank,Hardware
41458,annual leave days duplicated hours sent thursday la la el date cum se manager sent thursday database developer,HR Support
28807,cannot to conf com wednesday october cannot conf hi after changed pc cannot conf anymore tried maybe additional rights even change receive please help issue,Access
25547,oracle request friday november reject november hi possibility remember submit reject regards,HR Support
17962,wants to access account documentation contribute notes tuesday wants documentation shared accept decline,Storage
4844,add external user customer to add user dear please advise how add user he board backlog active sprint etc handled by invite create after manually add him users accelerator thank software developer id image,Access
35196,network issue some of issue some good morning part since month or since then almost every morning around know if important spend minutes trying resolve issue spoke with our administrator explained informed about such issues would like know if issues same decide ask you guys here issue after hibernate laptop open next morning have disable networks wired enable them again after start identify laptop maybe minutes you can what mean attached image issues after couple minutes able wired connection successful you can what mean attached image issues after some after some restarting enable disable networks random way able connect myself sending log if helps you identify issue around lunch everything starting work normal able connect myself wired question you guys informed for such issues or issue one if you need more information side here help have great senior developer,Hardware
10573,increase size tuesday increase size hi please increase size almost tried deleting older cannot keep kind regards engineer,Storage
5166,invoice volumes report invoice volumes report hi please rise assign reports thanks hi please approve add column report thank best regards application engineer wednesday october pm invoice volumes report hello based talk had back details invoice volumes report column invoice amount paid please find example after invoice amount paid column column invoice amount paid conversion calculated based date column conversion rate needs corporate please let possible added report also further details thank accounts payable accountant phone,Miscellaneous
36652,monitor not compatible monitor needed hi got recently laptop but resolution compatible with old monitor have there scaling issue also confirmed can you help with monitor there anything need thank you,Hardware
15223,add ram hello please add additional has installed thanks kind regards,Hardware
12659,users to be created as ad users thursday july pm users created ad users hello please accounts attached users required yet thanks engineer got feedback thursday july re users created ad users si thursday july users created ad users care fie senior tester,Access
34925,unable to approve oracle unable approve hi have few requests for approval annual leaves but when want approve them got view approval button displayed can you please assist best regards manager,Miscellaneous
28249,access details for louden thursday october pm re details dear please help thank analyst thursday october pm details dear kindly details guidelines please show her how log her thank regards,HR Support
28561,procurement preparer role for october re preparer role hi user sorry confusion regards senior accountant preparer role hello please kindly enable preparer role entities thanks kind regards wednesday october pm preparer role ca si date la po entity thanks senior accountant preparer role care preparer role hello please kindly enable preparer role entities thanks kind regards,Hardware
47702,pas disaster recovery test backup missing files sent thursday disaster recovery test files hello working disaster recovery documentation performing test there few issues with files some folders included procedure list files back up server policy jar export policy jar program files lib server war tomcat server kind regards engineer,Storage
32853,pas project creation end support team setup form oracle and pas friday july pm create automation hello please tickets queue creation setup form creation setup form kind regards analyst ext thursday july pm create automation dear please create two according attached forms thank,Internal Project
30508,error pm dear please seems error cannot delete anymore thanks,HR Support
43526,exchange issues for and sent friday march re issues copying manager she indicated she similar problems but reverse her laptop seems mostly but her phone meeting invites sent friday march issues hi have having intermittent issues with particularly around calendar invites have seen invites coming phone showing up laptop happens intermittently seems most common when but connecting or client site via caused or be late for important meetings also very frequently can connect for up hour senior architect,Administrative rights
29199,  wednesday pm hello purchased cables requested by cable cable dp please log replenishment by please proceed receive cables requisition thank administrator phone,Purchase
21312,de device wednesday february pm device maine device model si care si care si serial exceptional best regards tester,Hardware
6256,request hello want helpful more runs slow receive quite often screen lost each re which other way work differently environments also slows more performance help please thank senior software developer,Hardware
43104,meeting request calendar issue sent wednesday march meeting request issues dear please log ticket assign for sorting out meeting request calendar issue thanks kind regards engineer en,Hardware
32250,new starter hardware allocation tuesday pm re thanks tuesday pm re hello attached updated document kind regards android developer tuesday pm hello please help thanks ext tuesday pm re tuesday hello change version please help section thank ext pm re hello thank providing required hardware section filled by kind regards analyst ext pm re hello please find attached best ext pm hello again sorry push back impossible without updated thank understanding looking forward hearing kind regards analyst ext pm re dear employed updates reason old version him thank ext pm re hi please help provide updated starter form receive log tickets thanks kind regards analyst ext july dear please attached best ext friday july pm re attached thank friday july pm importance high hello help thank ext friday july pm hello please provide completed form remaining permissions perm he has contacted he yet thank kind regards analyst ext wednesday july pm hello please help by filling out he comes school thank ext,HR Support
46289,unable to fill the work hours sent friday november help please with working hours please help with booking for unable fill work hours please below snapshot with up shows up when trying fill working hours have successfully submitted working hours these days thank you,HR Support
41856,windows updates not available sent tuesday re action required cryptographic prevention hi have client site for several months have logged into have performed action below features dialogue should appear scroll down find file sharing make check next left unchecked then click have also tried get updates working but every try fails telling there was problem checking for updates history shows last update was december you know how can get updates working tried connection well think issue with client preventing cheers analysis,Hardware
138,add to reaching out hello received unusual wonder safe trap thank friday reaching out good evening appreciate solution wanted interested further exploring effectively leveraging work re resource around best practices well share how other companies industry solution teams help call learn more thank wonderful evening avenue redwood ca,Hardware
43268,missing folder sent wednesday march folder issue hello colleagues currently trying access shared drive cannot because folder for exist location can you please help with or can you please give another solution save shared file with regards test consultant,Storage
6534,buy en buy hello want kindly ask about process buying certain required steps conditions currently assigned name previously testing discipline lead by testing discipline order playground where testers learn how vulnerabilities controlled environment couple days available replace pc buy knew assets older than achieved replaced by device please clarify thank testing discipline lead,HR Support
1262,monitor change monitor change hello please assign queue thank kind regards engineer mobile,Hardware
23016,license thursday re license approved thank leader ext license hi please help license please approve thanks coordinator,Access
16685,remove from list thursday person hi please thank officer,HR Support
38748,issue mail not present snow received attached did appear snow,Miscellaneous
22289,new interns for bulk starter form for school center tuesday re bulk starter form school hi find attached document exact location floor come back updates sincerely wednesday pm bulk starter form school hello please help by filling out bulk starter form school thank ext,HR Support
18203,access to thursday march pm hi granted code name hub regards,HR Support
15590,check mobile phone number from tuesday pm re leaver mobile phone center hi automated unclear he mobile phone number blank thanks administrator phone tuesday leaver mobile phone center hi had mobile subscription plan available mobile number note mailbox receive messages,Hardware
38813,access issues re access issues hi please use point contact ticket be logged be directed right hi please log ticket for below kind regards applications analyst sent monday access issues hello cannot access can you please review advice please note was maternity leave credentials were activated renewed past two working days regards specialist,Hardware
38250,connection very slow urgent connection very slow hi could you please resolve issue connection very slow have presentations with client with mobile phone very slow more details thanks have good engineer id image,Hardware
11176,resource access friday july pm resource hi please provide location storage reports thank unit,Storage
13487,add to hello friday pm person link attached letter thank regards android developer,Miscellaneous
40564,quality attributes explorer machine work sent thursday quality attributes explorer machine work importance high dear could you please help checking machine related below access using remote desktop connection did connection closed allow connect again explorer test compute best regards senior developer colombia,Hardware
37037,problems with remote connection to famed problems with remote connection famed hi have problem when trying establish remote connection famed client work for with kind regards senior developer,Hardware
24790,name change to friday december re carte hello please change name thanks ext,Miscellaneous
7351,new account hi after discussing concluded user created order by user must called similar provide public key kind regards,Access
34073,very slow very slow hi we experience very slow responsive slow please investigate thank you senior manager en,Hardware
23525,two monitors needed for macs wednesday pm two monitors needed macs dear received two mini two monitors well macs thank senior test lead,Hardware
40886,rooms booking issues for sent tuesday rooms booking issues for hi made reservation with weeks recurrence for was accepted appears calendar for some reason rooms calendar did appear below could you please check what happened you below for today have calendar but rooms free thanks senior analyst,Hardware
41438,cannot remove meeting as organizer from calendar sent monday cannot remove meeting organizer calendar dear colleagues cannot cancel meeting organizer calendar room pong recurrence every working could you please assist completely remove appointment thanks rare tester ext,Hardware
21781,permission wednesday february help pass dear please help pass cannot search got error he passwords thank technical consultant,Access
7570,wireless wireless hello wireless user testing application mobile devices thank developer,Access
30281,new starter access card enabling friday pm starter form date hello please fill enclosed thanks,HR Support
21062,cables february pm cables hi cables dp dp helped thank,Hardware
1755,configure sonar apache on sp sonar to redirect requests to sonar apache sp sonar redirect requests dear colleagues please log reconfiguration apache sp sonar old redirect requests thank engineer,Storage
17778,mind map manager professional thursday mind map professional hello please ask install mind thanks program,Hardware
16282,additional monitor required thursday pm provide additional monitor hello please order provide additional monitor moment quite hard work monitor because different environments working please note located thank regards software tester intern,Hardware
3312,remove admin access from snow snow he change priority his own tickets,Miscellaneous
9098,phone card help submission phone card good morning two issues morning please help regarding tie sheet submission guys walked input error popping please second issue mobile phone given please card thanks,Access
39068,line manager changes sent thursday re line manager changes attached manager sent thursday line manager changes hello please be aware we cannot make any changes current one can initiate change there if you were receiving specified errors please give more details we escalate appropriate looking forward hearing you best regards analyst ext hub sent thursday re line manager changes when these changes take effect changes reflected manager sent thursday line manager changes hello please be informed changed line ad requested for any further help please contact best regards analyst ext hub sent thursday line manager changes importance high hi please change line manager for following follows would myself but get errors kind regards manager,Miscellaneous
20787,leavers report thursday february leavers report hi please leavers december february ensure licenses assigned active users regards,HR Support
24359,production testing success stories thursday december pm re production testing success stories hello please log assign thank engineer wednesday december pm re production testing success stories importance high hi package content move prod please target move packages tomorrow morning after sends content package well also items paths success story update source content content perspectives library library images content agile performance testing testing content testing cheers wednesday december re production testing success stories hello help file movement needed also updated files work anymore thank engineer tuesday december pm re production testing success stories also thought mention content published english version tuesday december pm production testing success stories hi attaching success story referring corresponding images more pipeline follow shortly enhancing productivity item path related icons files library images item path related icons fallback files library images fallback item path hero library images hero hero item path hero mobile library images hero mobile hero mobile item path inner library images inner ss item path inner library images inner follow lately other success stories help moving content staging production after everything done target release by tomorrow cob thanks,Hardware
34704,problem problem hello have problem introducing friday present form opens does contain code task location different have attached form please advise android developer blvd th floor district,Internal Project
21392,assignee tuesday february pm assignee hello please log assign queue thank engineer february assignee hi please update filed user has device regards head testing,Access
9522,leaver interns bulk hardware allocation bulk leaver form interns hello please help by filling out bulk leaver form interns thank ext,HR Support
45587,laptop not returned by sent tuesday december re leaver laptop hi certainly because we have idea what information might have taken out his laptop what was working what client information did have access result or projects his ad was disabled later than least could access externally published resources after date presume any attempt use if installed would have failed too uses ad accounts for authentication kind regards sent december leaver laptop hi november th left did returned his laptop after several retrieval attempts we concluded most likely laptop never be returned have informed about issue would also like ask you raise matter for tracking purposes you think have for best regards engineer,Hardware
16477,set ticket to when converting incident to request and tuesday pm converted please myself mailing sd thanks specialist tuesday pm converted hello writing regard references mentioned converted newly opened waiting stage by default amend fulfillment kind regards specialist,Miscellaneous
21182,activate visitor cards thursday february pm visitor cards hello kindly activate visitor card thank,Access
19931,add to cloud infrastructure services thursday march pm infrastructure additions hi please add infrastructure kind regards planning officer infrastructure upcoming holiday st march,Miscellaneous
38709,inaccessible sent license server problem dear looks like there issue with license server you registered for license server distribute your product licenses server either down or cannot connect server last talked saturday if server down existing clients continue working for up hours clients cannot be served if server up but cannot connect only be able serve clients until tuesday manage related license server licenses please log your please refer product documentation for available if you need help issue please hesitate contact yours drive develop,Access
18185,monitor riser thursday march pm monitor riser hello monitor riser better posture thank,Hardware
28903,confluence access october confluence hello se la conf ca fie discipline lead,Access
22749,oracle fusion timecard error tuesday problem hi please assign description thank regards analyst pm re problem accidentally input starting starting realized corrected submitted wanted entries were accidentally added seems cannot delete items upper left corner screen error clear out entries advise myself thanks senior engineer,HR Support
3000,add project codes oracle pas pas hi please setup codes attachments,Internal Project
31050,document purchase order requisition implemented thursday document purchase order requisition implemented dear purchased please log installation kind regards administrator wednesday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier intend computer supplier site site location supplier order description note supplier requisitioning requisition requester cost center attachments po,Purchase
6737,for florin and hello please allocate number possible log keep loop well thank,Hardware
373,approval list tuesday hi please persons checklist kind regards application engineer surrey surrey please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,Miscellaneous
45237,missing annual leave allowance sent thursday re notification annual leave days visible resolved hello please can you log ticket assign relevant help with below logged onto but can only days carried out last year looks like days for thank you very much with kind regards sent thursday notification annual leave days visible resolved importance high dear please be advised issue regarding annual leave days being visible resolved should you wish submit any annual leave special leave requests you can follow normal procedure we apologize for any inconveniences might have caused if you were encounter any other issues please let know thank you kind regards ext hub sent wednesday notification annual leave days visible update hello please be advised we still investigating absences issue with high priority meanwhile please note you won be able submit any annual leave special leave requests should you need book any days off within working week please liaise with responsible teams manually update your absence records into germany colombia bogota macedonia if you have any other questions please contact thank you for your collaboration understanding ext hub sent tuesday notification annual leave days visible dear please be advised we still investigating absences issue with high priority meanwhile please note won allow you submit any annual leave special leave requests should you need book any days off within working week please liaise with responsible teams manually update your absence records into germany colombia bogota macedonia if you have any other questions please contact thank you kind regards ext hub sent tuesday notification annual leave days visible dear please be advised annual leave days cannot be seen needs be updated accordingly our engineers investigating issue with high priority we get back you with updates when available please note applies locations should you have any questions please hesitate contact thank you kind regards ext hub,HR Support
6786,install printer from th and th floor install printer floor hi due policy rights machine were removed help installing printers floor thanks great weekend,HR Support
9713,new purchase po re purchase po hello please log tickets per user thank engineer purchase po dear purchased please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator,Purchase
35489,cannot submit timecard cannot submit timecard hi cannot submit timecard can you please review senior tester,HR Support
9078,non starter access card enabling july pm re change date hello ca care july pm change date hello everyone pot va va si specialist thursday july pm hi please fill starting further assistance needed side let thank,HR Support
46151,outlook issue contact advised she had issues with would open she received attached error could you please investigate thanks,Administrative rights
16421,upgrade local serial laptop needed temporary tuesday pm upgrade serial needed hello help providing upgrade serial old great administrator thanks,Administrative rights
16987,backup approval oracle friday pm backup dear possible back backup least period regards,Miscellaneous
22229,new starter center wednesday pm hello fill starting february return both thank administration officer,HR Support
33692,open access thursday july pm hi give please credentials please template best regards senior engineer,HR Support
10161,cables friday pm cables hi cables please install thanks senior developer,Hardware
40348,issues sent tuesday re notification multiple unavailable hi please note still getting connection error while trying connect please advise what could order access site client thank you sent tuesday notification multiple unavailable hello everyone please be advised for restored however for those using mobile phones for joining conference calls dial number directly mobile phone for application followed by conference id we still experiencing issues with for devices being investigated we return with update more information becomes available thank you for your understanding apologies for any caused inconveniences kind regards,Hardware
14503,db backups needed for staging deploy tuesday pm backups needed staging deploy hello please log please create backups staging database backup core jobs databases tomorrow please let backups ready thanks best regards application engineer,Access
41967,permissions problem on sent tuesday permissions problem hello having problem with permissions when trying enter data for input known pipeline for following message can someone please look into for manager,Internal Project
30661,review location lists please review locations lists make users right ones ex directly sub,Miscellaneous
29617,package thursday pm hello lost credentials possible link download application thanks continue grow integrating teams introducing activity want make each every easily stay date initiatives across locations improved communication tool acts both information hub central tools content re excited let tool starting want find out more about disciplines practices sectors great content ask feedback connect platform become main communication channel helping transition large part announcements well information about employees opportunities onto hub hosts important information acts central hub everything aside functional improvements more user friendly interface act main file sharing hosting templates forms documentation highlights encourage browse discover make re take advantage features guidelines provide insights how potential follow sites files making information re interested easily accessible powerful search engine helps quickly find files even delivering content location discipline platform ensures enjoy content next move beyond beta phase touch site owners continue populate environment content completely transition content old upcoming other tools confluence search capabilities expand include task details other relevant information also host multimedia content enable stream pass sessions other events make out experience please explorer please available kind problem please reach out more details related please dedicated appreciate continue learn more about together well understanding strive journey chief,Hardware
44945,database backup from live environment from sent friday re library hi we need database environment be sent we identify there bug trying fix issue we cannot add books bogota best regards test consultant mob en your zone,Hardware
1286,planner action list planner action dear please invite planner action planner thank much,Storage
38653,all server staff network settings are repeatedly getting broken by the process mechanism that overrides proxy settings late we cannot access or resources if proxy we have turn off however there process mechanism place overrides proxy settings by enabling extremely annoying since we have re disable proxy every mechanism kicks sets proxy please disable mechanism question for server,Hardware
28617,new mail full team friday october pm hi please create called owner thanks,Miscellaneous
42736,notifications from oracle not received sent thursday receive dear receive any since use never received anything had reported ticket history you informed was incorrect resolved however still receive anything please help solve thanks manager en,Miscellaneous
38631,create more disc space to accommodate windows update create more disc space accommodate update hello need drive be extended order upgrade be possible could you assist with best for would be friday after thanks best regards software tester for en,Administrative rights
28642,team new member file shared folder access read friday october re member hi added please attached regards friday october member hi please add process his accounts thank analyst ext hub thursday october pm re member gentle reminder concerning points thank tuesday october pm member hi guys member developer please add him please add him protocol client please add him user other according attached thanks,Storage
18196,alternative for necessary notes thursday march pm importance high dear next wednesday presentation prospect bavarian persons about artificial cannot offer meeting next wednesday regards senior main main,Hardware
22070,human resources view for friday human resources view hi please enable view human resources tab thanks,Storage
28690,settings to be made thursday october pm made hello please make employees add under special leave section voting leave option make type leave choose frame since granted add under voting leave task further details please hesitate please let once employees type leave available thank administration officer,HR Support
43131,outlook is down ny sent tuesday march re down ny meetings morning quite frankly have call number there way have escalated via regards sent tuesday march re down ny please make you type full for also if there something urgent forget use phone number sent for also signature below phone number thanks senior engineer ext upcoming days off march phone number date tuesday march down ny hello app appears be working for everyone currently ny while able access through another one colleagues cannot access says does have permissions view even through explorer bit urgent issue would appreciate speedy response regards,Administrative rights
769,new request hello backpack old has zip broken appreciate resolution take call shifts thank,Hardware
27918,new quarantine account wednesday october pm hello today received regarding suppliers requested catalogue how link colleagues hopefully problem past did cause problems because did receive regarding programs thought caused problems forwarding link kindest regards wednesday october pm dear has created has quarantined has file via bounces kb manage quarantined must create unable button please copy paste browser default locale once then release released deleted automatically after days please further information about please tip multiple addresses link these together single convenience log manage aliases,Hardware
19436,issue that needs clarifying thursday march pm re poll status down hi has nothing continuous tone problem triggered by scheduled controllers reboot thank poll status down hello please log assign getting thanks march poll status down ultima merci february poll status down hello please referenced which logged after series unfortunate events happening thank best regards analyst ext february re poll status down hello strange behavior controller past weeks controller loses link controller exactly same software warning trunk has failed software warning trunk has failed software warning trunk has failed then precisely programmed reboot warning call control programmed reboot sequence has started warning call control programmed reboot sequence has started warning call control programmed reboot sequence has started host probe name down timeout exceeded aborting poll down null down null down null down null close root cause alarm controller restart deeper analysis during thanks february poll status down hello discussed please advised referenced has logged added queue poll testing down poll status down poll output null please assist thank best regards analyst ext,Miscellaneous
2806,need support resolving oracle approval for the people where is a line manager resolving where dear please help his rights where he currently he approve best regards agile safe agile methodology next annual leave december,Miscellaneous
31168,document purchase order requisition implemented tuesday pm document purchase order requisition implemented dear purchased received items requested by galaxy locked red mobile subscription updated include device under user name please add installing device thanks kind regards administrator wednesday pm document purchase order requisition implemented task application document purchase order requisition implemented details assignee assigned date expiration date task number sold entity order buyer ordered approximately nonrecoverable tax justification order details supplier supplier site site location center supplier order description note supplier requisitioning requisition requester cost center attachments po registered under number whose registered old broad street kingdom provide clients each subsidiaries separate,Purchase
28581,new network path hello please informed granted also path old currently feature more questions hesitate ask kind regards engineer tuesday october re hi guys bellow haven receive id thanks application engineer ext october pm hi guys both accounts also path old best regards application engineer,Hardware
22284,access request tuesday pm re hello please assign thanks engineer tuesday pm hi log queue kind regards analyst ext hub tuesday pm hi requested colleague got information raised therefore details name user type specialist thank kind regards specialist,Access
21758,access rights to obi wednesday february pm obi how hi please give rights obi thank friday pm re obi how ca la la,Hardware
30207,new purchase po pm purchase po dear purchased please log installation kind regards administrator,Purchase
27277,upgrade query october pm re upgrade tried cant main which until wednesday please advise thanks october upgrade hello kind reminder please make update latest version highly critical perform upgrade by tuesday starting wednesday upgrade pushed automatically order update please follow steps more detailed guide found software center by searching software center search menu best endpoint agent install selected wait installation status becomes installed reboot computer icons newly installed endpoint tools please note during update process lose approximately minutes questions encounter difficulties upgrading please hesitate thank kind regards ext hub,Administrative rights
46179,laptop issue sent wednesday november laptop issue hello have some issues with laptop does start properly tried run diagnostic tool but result could you please help thank you very much best regards,Hardware
31105,leaver belgrade oracle tuesday pm re sheets ex hello please log tickets manually thank sheets ex hello dude please more think talk resolve disabled ad rest processed once writing thanks analyst ext tuesday pm re sheets ex hi assume haven leaver forms users had leaver process users defined during document knowledge leavers procedure continued transition processes meantime steps process possible more ad more which trigger leaver process also because two more information about leavers went compliance way which updated understood gets form finally finish accommodation starter process sync process other after work leaver process avoid future confusion think disabled she visible book thanks tuesday pm sheets ex hello everyone unfortunately include help thank regards administrator tuesday sheets ex hello respect thread input kind regards analyst ext tuesday re sheets ex hi process confirmed locally thank tuesday sheets ex hello usually receive notify please process changes kind regards analyst ext tuesday re sheets ex hi happened because leaver form yet employees kind regards tuesday sheets ex hello cannot find ex she left create her sheets about respect issue please advised has disabled unable find trace leaver form must because sudden leave contract date please advise status leaver thank analyst ext,HR Support
25955,oracle question friday november pm re hello technical advise possible done based approver reports extracted think teams also checked thank administration officer thursday november pm hi effective employees become exempt utilize weekly hoping myself view employees please let possibility thank,Hardware
23551,amend service now and fusion for and wednesday pm starter hello please note changed both follows require further assistance information please thank analyst ext hub tuesday pm starter hi please create due by unfortunately visible thru simple search possible change let done thank kind regards analyst,HR Support
6140,laptop backpack backpack hello kindly ask provide backpack take work also thank much,Hardware
24829,new access urgent pm close pm please thanks thursday december pm re urgent hi guys issue spotted upload folder moves automatically parent location screen please fixed asap location where want upload doc functions practices compliance administration macedonia regards,Storage
35555,laptop stuck boot loop after win upgrade laptop stuck boot loop after win upgrade dear please log ticket assign for troubleshooting her laptop stuck boot loop after win upgrade complete successfully thank you kind regards engineer en,Administrative rights
18412,user location march user location hello please attached take relevant action proper order location populated ad creates lot effort running report afterwards filtering by location much appreciate thank lead friday march pm user location dear users location attached users blank unknown location users location variations regards knowledge,Access
23988,prepare laptop for shipping december prepare shipping hello please prepare picked by supplier thank consultant,Hardware
43834,hold inconsistencies sent monday february re incident for ticket la ca ca sa sa pun release date sa hold sa stare se va mine se technical consultant ext your zone sent monday february re incident for sa data sa la loc sa direct applications manager sent february incident for sa cum ticket si sa hold program ca hold ulterior automat si cum sent saturday february incident for ticket breached please be advised following ticket breached reference number customer hosting summary for vault priority high resolution target date assigned engineer ref msg,Miscellaneous
42092,can not access pas sent friday can access hello please raise request assign kind regards sent friday can access hello please advise why can update data was stated best regards manager,Hardware
43286,job descriptions not available sent wednesday march job descriptions available hi when accessing layouts libraries job descriptions discipline lead template february action default get following message server address could be found could you please investigate thank you head applications,Storage
37114,error error hi visiting client having trouble logging you can attached error get can you please help thank you master se or developer en,Hardware
